Date,Latitude,Longitude,station_name,Wind-Speed (U),Wind-Speed (V),Dewpoint Temp,Soil Temp,Total Percipitation,Vegitation (High),Vegitation (Low),Temp,Relative Humidity,PM10,PM2.5,NO2,O3,code,id
2020-05-01 00:00:00,38.15,23.55,Athens CAMS station 0,1.71311533885489,-0.588855220160293,10.046453905069583,17.08355447272937,3.4904385277085134e-05,1.6990255124127562,2.244626360319493,12.948855760469227,82.57881169940232,8.101824,6.200135,3.479941,76.28401,ACAMS00,45
2020-05-01 00:00:00,37.85,23.75,Athens CAMS station 9,1.960498458132664,-0.9374166341415604,10.270286310508002,17.909675495002663,3.718064813640048e-05,1.7432989918026705,1.4311820050038988,14.011538850945668,78.35273058596111,10.5204115,7.8367248,17.563843,74.3911,ACAMS09,54
2020-05-01 00:00:00,38.15,23.65,Athens CAMS station 1,1.6409851004162568,-0.5560732013307332,9.700422045368082,16.976488861119726,4.02244732242526e-05,1.6426650416173532,2.1729976711043606,12.550689766716184,82.84031746898914,8.587352,6.3064036,2.892315,74.56569,ACAMS01,46
2020-05-01 00:00:00,37.85,23.85,Athens CAMS station 10,2.003834149031823,-0.971722476392657,10.15925061110172,17.993455822549627,3.5512492380478724e-05,1.753648402284911,1.5828315239375887,14.261641492942978,76.55891510971944,10.917974,8.20766,17.196804,67.90412,ACAMS10,55
2020-05-01 00:00:00,37.85,23.95,Athens CAMS station 11,1.9540627111154347,-0.9123346704736696,9.99353169918196,17.957935358499427,3.642372678965155e-05,1.7068036461779088,1.8066599756704336,14.179074594951286,76.14020205289927,11.353168,8.217451,15.817172,67.63471,ACAMS11,56
2020-05-01 00:00:00,38.15,23.85,Athens CAMS station 13,1.617427769574185,-0.5055144374069571,9.277265160913556,17.125595494632492,4.873963389512733e-05,1.5793593867725344,1.526574449709686,12.849267447136878,78.95981596666921,10.021696,7.328548,5.687867,71.46131,ACAMS13,58
2020-05-01 00:00:00,37.85,23.65,Athens CAMS station 8,1.89974813268356,-0.8797115196091903,10.28712286643464,17.857515194442964,3.8729469756333904e-05,1.721686720941639,1.5042771905083985,13.76471927172092,79.67162356463348,10.162753,7.2681413,14.398063,80.97122,ACAMS08,53
2020-05-01 00:00:00,38.15,23.95,Athens CAMS station 14,1.6085470114489937,-0.4934694304332676,9.436499043732478,17.33971030316069,5.018246750243214e-05,1.588538037988115,1.109097662190847,13.192151985120486,78.0344210591981,11.410466,7.889841,7.3863273,71.16523,ACAMS14,59
2020-05-01 00:00:00,38.05,23.55,Athens CAMS station 15,1.9319009993306944,-0.9555982815907956,10.87068214195455,18.002994823727796,3.788097458772918e-05,1.9183724017063248,1.5180004719257594,13.86136006057392,82.22288639823304,10.032639,8.453507,10.89093,69.88988,ACAMS15,60
2020-05-01 00:00:00,38.05,23.65,Athens CAMS station 16,1.825504302098888,-0.8649685457330512,10.444918061239033,17.745292591840357,4.208872169209793e-05,1.628800680817941,1.479181517407505,13.3391417916398,82.71479730455671,11.838625,9.954234,12.530855,63.666874,ACAMS16,61
