Timestamp,Station,District,Route,Direction of Travel,Lane Type,Station Length,Samples,% Observed,Total Flow,Avg Occupancy,Avg Speed,Delay (V_t=35),Delay (V_t=40),Delay (V_t=45),Delay (V_t=50),Delay (V_t=55),Delay (V_t=60)
02/01/2022 00:00:00,715918,7,5,N,ML,0.885,0,0,1384.0,0.0247,68.2,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,715920,7,5,S,ML,1.29,0,0,1711.0,0.04,63.9,0.0,0.0,0.0,0.0,0.0,0.2
02/01/2022 00:00:00,715924,7,5,N,OR,,114,100,0.0,0.0,,,,,,,
02/01/2022 00:00:00,715925,7,5,S,OR,,114,100,0.0,0.0,,,,,,,
02/01/2022 00:00:00,715926,7,5,N,OR,,114,100,0.0,0.0,,,,,,,
02/01/2022 00:00:00,715927,7,5,N,OR,,114,100,78.0,0.0095,,,,,,,
02/01/2022 00:00:00,715929,7,5,S,ML,0.47,456,100,1402.0,0.0294,69.3,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,715930,7,5,N,ML,0.505,456,100,1287.0,0.0294,66.6,0.0,0.0,0.0,0.0,0.0,0.1
02/01/2022 00:00:00,715932,7,5,S,OR,,114,100,85.0,0.0147,,,,,,,
02/01/2022 00:00:00,715933,7,5,N,ML,0.425,456,100,1185.0,0.0232,67.2,0.0,0.0,0.0,0.0,0.0,0.1
02/01/2022 00:00:00,715935,7,5,S,OR,,114,100,76.0,0.0123,,,,,,,
02/01/2022 00:00:00,715937,7,5,S,OR,,114,100,127.0,0.0168,,,,,,,
02/01/2022 00:00:00,715938,7,5,N,ML,0.545,456,100,1480.0,0.0272,68.7,0.0,0.0,0.0,0.0,0.0,0.1
02/01/2022 00:00:00,715941,7,5,S,OR,,114,100,40.0,0.006,,,,,,,
02/01/2022 00:00:00,715944,7,5,N,ML,0.323,456,75,1768.0,0.0428,64.9,0.0,0.0,0.0,0.0,0.0,0.1
02/01/2022 00:00:00,715947,7,5,S,ML,0.495,341,100,550.0,0.0109,68.5,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,715952,7,5,S,OR,,114,100,37.0,0.0073,,,,,,,
02/01/2022 00:00:00,715966,7,5,S,OR,,114,100,16.0,0.0016,,,,,,,
02/01/2022 00:00:00,715970,7,5,N,OR,,114,100,48.0,0.0043,,,,,,,
02/01/2022 00:00:00,715972,7,210,E,OR,,114,100,23.0,0.002,,,,,,,
02/01/2022 00:00:00,715973,7,5,S,OR,,114,100,33.0,0.0065,,,,,,,
02/01/2022 00:00:00,715976,7,5,N,OR,,114,100,17.0,0.0015,,,,,,,
02/01/2022 00:00:00,715977,7,5,N,OR,,114,100,31.0,0.004,,,,,,,
02/01/2022 00:00:00,715978,7,5,S,OR,,113,100,48.0,0.0058,,,,,,,
02/01/2022 00:00:00,715979,7,5,S,OR,,114,100,25.0,0.0043,,,,,,,
02/01/2022 00:00:00,715980,7,5,N,OR,,114,100,24.0,0.0042,,,,,,,
02/01/2022 00:00:00,715981,7,5,N,OR,,112,100,39.0,0.0037,,,,,,,
02/01/2022 00:00:00,715982,7,5,N,OR,,114,100,37.0,0.0057,,,,,,,
