Timestamp,Station,District,Route,Direction of Travel,Lane Type,Station Length,Samples,% Observed,Total Flow,Avg Occupancy,Avg Speed,Delay (V_t=35),Delay (V_t=40),Delay (V_t=45),Delay (V_t=50),Delay (V_t=55),Delay (V_t=60)
02/01/2022 00:00:00,715918,7,5,N,ML,0.885,0,0,1384.0,0.0247,68.2,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,715920,7,5,S,ML,1.29,0,0,1711.0,0.04,63.9,0.0,0.0,0.0,0.0,0.0,0.2
02/01/2022 00:00:00,715929,7,5,S,ML,0.47,456,100,1402.0,0.0294,69.3,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,715930,7,5,N,ML,0.505,456,100,1287.0,0.0294,66.6,0.0,0.0,0.0,0.0,0.0,0.1
02/01/2022 00:00:00,715933,7,5,N,ML,0.425,456,100,1185.0,0.0232,67.2,0.0,0.0,0.0,0.0,0.0,0.1
02/01/2022 00:00:00,715938,7,5,N,ML,0.545,456,100,1480.0,0.0272,68.7,0.0,0.0,0.0,0.0,0.0,0.1
02/01/2022 00:00:00,715944,7,5,N,ML,0.323,456,75,1768.0,0.0428,64.9,0.0,0.0,0.0,0.0,0.0,0.1
02/01/2022 00:00:00,715947,7,5,S,ML,0.495,341,100,550.0,0.0109,68.5,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,715996,7,5,S,ML,0.275,0,0,1469.0,0.0285,66.8,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,716007,7,5,N,ML,1.75,0,0,1435.0,0.0341,62.9,0.0,0.0,0.0,0.0,0.0,0.4
02/01/2022 00:00:00,716010,7,5,S,ML,0.6,0,0,150.0,0.0064,65.1,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,716016,7,5,S,ML,0.65,0,0,150.0,0.0064,65.1,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,716017,7,5,N,ML,0.53,0,0,150.0,0.0064,65.1,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,716023,7,5,N,ML,5.0,0,0,1329.0,0.0528,64.3,0.0,0.0,0.0,0.0,0.0,0.4
02/01/2022 00:00:00,716026,7,210,E,HV,0.8,114,100,37.0,0.002,64.9,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,716028,7,10,E,ML,0.291,341,100,719.0,0.0136,69.2,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,716032,7,10,W,ML,0.38,0,0,1567.0,0.0371,64.5,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,716036,7,10,E,ML,0.38,0,0,2011.0,0.0378,67.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,716047,7,10,E,ML,0.265,0,0,2178.0,0.0441,64.6,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,716050,7,10,E,ML,0.42,0,0,2030.0,0.0437,67.8,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022 00:00:00,716057,7,10,E,ML,0.25,0,0,150.0,0.0064,65.1,0.0,0.0,0.0,0.0,0.0,0.0
