SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
040,3,6,01,000,Alabama,Alabama,5024294,5031864,5050380,5073903,5108468,7570,18516,23523,34565,13867,57184,58106,58251,15165,69135,67208,59813,-1298,-11951,-9102,-1562,125,1806,4374,5384,9615,27715,28464,30744,9740,29521,32838,36128,-872,946,-213,-1,127914,131372,134653,141654,144014,11.343506465,11.478541246,11.4415395,13.714208861,13.276594501,11.748344271,-2.370702395,-1.798053255,-0.306804771,0.3582535793,0.8640611883,1.0575140112,5.4977840251,5.6229167043,6.0386721325,5.8560376043,6.4869778927,7.0961861437
050,3,6,01,001,Alabama,Autauga County,58809,58915,59203,59726,60342,106,288,523,616,162,686,706,714,176,696,687,621,-14,-10,19,93,0,15,22,34,100,242,507,491,100,257,529,525,20,41,-25,-2,484,484,484,484,484,11.615503141,11.872629888,11.893260486,11.784825344,11.55311152,10.344138322,-0.169322203,0.3195183681,1.5491221641,0.2539833048,0.3699686367,0.5663457374,4.0975973179,8.5260954015,8.1786987374,4.3515806228,8.8960640382,8.7450444748
050,3,6,01,003,Alabama,Baldwin County,231768,233227,239439,246531,253507,1459,6212,7092,6976,560,2337,2511,2531,602,2948,3022,2640,-42,-611,-511,-109,11,105,250,291,1613,6972,7036,6804,1624,7077,7286,7095,-123,-254,317,-10,3549,3448,3351,3468,3493,9.8885894056,10.333971233,10.123230634,12.473924505,12.436981707,10.559197501,-2.585335099,-2.103010474,-0.435966867,0.4442883558,1.0288700949,1.1639115427,29.500746828,28.95651995,27.213931741,29.945035183,29.985390045,28.377843284
050,3,6,01,005,Alabama,Barbour County,25229,24969,24533,24700,24585,-260,-436,167,-115,60,270,278,267,92,390,363,350,-32,-120,-85,-83,0,0,2,13,-186,-313,237,-45,-186,-313,239,-32,-42,-3,13,0,2721,2482,2248,2702,2702,10.908650156,11.293238275,10.834939637,15.756939114,14.746206813,14.203104393,-4.848288958,-3.452968537,-3.368164756,0,0.0812463185,0.5275438774,-12.6459537,9.6276887454,-1.826113422,-12.6459537,9.7089350639,-1.298569544
050,3,6,01,007,Alabama,Bibb County,22301,22188,22359,21986,21868,-113,171,-373,-118,56,240,236,240,55,325,314,290,1,-85,-78,-50,0,1,1,1,-101,254,-303,-69,-101,255,-302,-68,-13,1,7,0,2141,2060,1994,2025,1894,10.775136373,10.643815537,10.945409769,14.591330505,14.161686774,13.225703471,-3.816194132,-3.517871237,-2.280293702,0.0448964016,0.0451009133,0.045605874,11.403685995,-13.66557673,-3.146805309,11.448582396,-13.62047581,-3.101199434
050,3,6,01,009,Alabama,Blount County,59130,59107,59079,59516,59816,-23,-28,437,300,137,654,693,698,199,875,846,776,-62,-221,-153,-78,1,9,8,24,21,141,589,358,22,150,597,382,17,43,-7,-4,616,616,616,616,616,11.067300696,11.68683334,11.698454731,14.807168362,14.267043299,13.005731908,-3.739867666,-2.580209958,-1.307277176,0.1523023031,0.134912939,0.4022391312,2.386069416,9.9329651334,6.0000670399,2.5383717192,10.067878072,6.402306171
050,3,6,01,011,Alabama,Bullock County,10360,10229,10143,10143,9897,-131,-86,0,-246,24,111,103,102,41,160,138,133,-17,-49,-35,-31,0,1,5,6,-94,-42,32,-219,-94,-41,37,-213,-20,4,-2,-2,1705,1631,1578,1648,1615,10.897310033,10.154786552,10.179640719,15.707834282,13.605442177,13.273453094,-4.810524249,-3.450655625,-3.093812375,0.0981739643,0.4929508035,0.5988023952,-4.123306499,3.1548851425,-21.85628743,-4.025132535,3.647835946,-21.25748503
050,3,6,01,013,Alabama,Butler County,19046,19025,18890,18668,18382,-21,-135,-222,-286,47,227,207,212,88,297,312,299,-41,-70,-105,-87,0,5,6,8,15,-75,-117,-207,15,-70,-111,-199,5,5,-6,0,285,285,285,285,285,11.97415271,11.022951169,11.443994602,15.666622709,16.614303211,16.140350877,-3.692469999,-5.591352042,-4.696356275,0.263747857,0.319505831,0.4318488529,-3.956217856,-6.230363704,-11.17408907,-3.692469999,-5.910857873,-10.74224022
050,3,6,01,015,Alabama,Calhoun County,116441,116243,115678,115780,116429,-198,-565,102,649,305,1250,1334,1346,397,1843,1852,1649,-92,-593,-518,-303,0,12,22,29,-115,-70,635,923,-115,-58,657,952,9,86,-37,0,5632,5554,5407,5749,5936,10.779532686,11.526929292,11.593004578,15.893342992,16.002903335,14.202722547,-5.113810306,-4.475974043,-2.60971797,0.1034835138,0.1900992837,0.2497749872,-0.60365383,5.4869565969,7.9497349371,-0.500170317,5.6770558805,8.1995099242
050,3,6,01,017,Alabama,Chambers County,34772,34651,34488,34164,34079,-121,-163,-324,-85,87,392,401,398,167,592,558,511,-80,-200,-157,-113,2,22,49,55,-51,-6,-208,-26,-49,16,-159,29,8,21,-8,-1,860,860,856,860,860,11.339475549,11.682106858,11.664199991,17.124922258,16.255899318,14.975894964,-5.785446709,-4.573792461,-3.311694972,0.636399138,1.4274893667,1.6118869335,-0.173563401,-6.059546699,-0.761982914,0.4628357367,-4.632057333,0.8499040195
050,3,6,01,019,Alabama,Cherokee County,24973,24969,25074,25353,25666,-4,105,279,313,62,254,238,230,122,442,456,409,-60,-188,-218,-179,0,7,14,14,59,284,476,482,59,291,490,496,-3,2,7,-4,278,278,278,278,278,10.151269908,9.4393876296,9.0162488485,17.664808265,18.085549408,16.033242517,-7.513538357,-8.646161778,-7.016993669,0.2797594069,0.5552580959,0.5488151473,11.350238795,18.878775259,18.8949215,11.629998202,19.434033355,19.443736647
050,3,6,01,021,Alabama,Chilton County,45011,45057,45259,45848,46431,46,202,589,583,147,534,540,548,143,659,643,588,4,-125,-103,-40,1,20,26,49,26,289,656,577,27,309,682,626,15,18,10,-3,388,388,388,388,388,11.825147261,11.854193421,11.877025109,14.593206076,14.115271055,12.743961248,-2.768058816,-2.261077634,-0.866936139,0.4428894105,0.570757461,1.0619967707,6.3997519819,14.400649785,12.50555381,6.8426413924,14.971407246,13.56755058
050,3,6,01,023,Alabama,Choctaw County,12669,12626,12548,12431,12252,-43,-78,-117,-179,33,131,141,108,53,205,213,200,-20,-74,-72,-92,0,1,2,2,-22,-12,-41,-88,-22,-11,-39,-86,-1,7,-6,-1,66,66,66,66,66,10.407563359,11.289483166,8.7509622007,16.286644951,17.054325634,16.205485557,-5.879081592,-5.764842468,-7.454523356,0.0794470485,0.160134513,0.1620548556,-0.953364583,-3.282757516,-7.130413645,-0.873917534,-3.122623003,-6.968358789
050,3,6,01,025,Alabama,Clarke County,23091,22987,22740,22574,22337,-104,-247,-166,-237,57,300,289,293,101,435,390,366,-44,-135,-101,-73,0,0,0,0,-56,-120,-58,-165,-56,-120,-58,-165,-4,8,-7,1,372,372,372,372,372,13.121350624,12.75543982,13.048028323,19.025958405,17.213223286,16.298902273,-5.904607781,-4.457783466,-3.250873951,0,0,0,-5.24854025,-2.559915258,-7.347865779,-5.24854025,-2.559915258,-7.347865779
050,3,6,01,027,Alabama,Clay County,14237,14212,14170,14183,14111,-25,-42,13,-72,33,142,154,159,39,268,235,230,-6,-126,-81,-71,0,-1,-3,-3,-20,78,103,2,-20,77,100,-1,1,7,-6,0,258,258,258,258,258,10.006342048,10.863048002,11.239131971,18.885208935,16.576729094,16.257863858,-8.878866887,-5.713681092,-5.018731887,-0.070467198,-0.211617818,-0.212059094,5.4964414065,7.2655450922,0.1413727292,5.425974209,7.053927274,-0.070686365
050,3,6,01,029,Alabama,Cleburne County,15057,15064,15156,15372,15639,7,92,216,267,37,176,183,177,48,261,242,229,-11,-85,-59,-52,0,0,-1,-1,14,175,267,322,14,175,266,321,4,2,9,-2,174,174,174,174,174,11.647915288,11.988993711,11.415304247,17.273328921,15.854297694,14.768952952,-5.625413633,-3.865303983,-3.353648705,0,-0.065513627,-0.064493244,11.581733951,17.492138365,20.766824675,11.581733951,17.426624738,20.702331431
050,3,6,01,031,Alabama,Coffee County,53459,53549,54199,54840,55643,90,650,641,803,159,726,673,676,174,733,691,630,-15,-7,-18,46,1,26,57,68,91,618,602,695,92,644,659,763,13,13,0,-6,764,706,673,702,761,13.475888184,12.344207119,12.23717676,13.60582099,12.674364218,11.404469466,-0.129932806,-0.3301571,0.8327072943,0.4826075658,1.0454974826,1.230958609,11.471210603,11.041920781,12.581121077,11.953818168,12.087418263,13.812079686
050,3,6,01,033,Alabama,Colbert County,57232,57304,57644,57993,58361,72,340,349,368,166,656,633,636,176,880,891,801,-10,-224,-258,-165,2,10,11,47,68,542,590,489,70,552,601,536,12,12,6,-3,407,407,407,407,407,11.4138567,10.948052959,10.932155319,15.311271183,15.410292553,13.76832769,-3.897414483,-4.462239595,-2.836172371,0.173991718,0.1902505254,0.8078794025,9.4303511153,10.20434636,8.4053835708,9.6043428333,10.394596885,9.2132629733
050,3,6,01,035,Alabama,Conecuh County,11597,11554,11320,11224,11174,-43,-234,-96,-50,29,114,134,134,45,226,221,205,-16,-112,-87,-71,0,0,0,0,-27,-123,-4,20,-27,-123,-4,20,0,1,-5,1,128,128,128,128,128,9.967648859,11.887863733,11.965354049,19.760426685,19.60610362,18.305205822,-9.792777826,-7.718239886,-6.339851772,0,0,0,-10.75456851,-0.354861604,1.7858737387,-10.75456851,-0.354861604,1.7858737387
050,3,6,01,037,Alabama,Coosa County,10378,10335,10314,10307,10268,-43,-21,-7,-39,27,82,86,89,29,180,183,174,-2,-98,-97,-85,0,-1,-2,-1,-33,77,90,49,-33,76,88,48,-8,1,2,-2,312,262,186,286,310,7.9422732336,8.3410115901,8.6512758202,17.434258318,17.748896756,16.913730255,-9.491985084,-9.407885166,-8.262454435,-0.096856991,-0.193977014,-0.097205346,7.4579882803,8.7289656176,4.7630619684,7.3611312897,8.5349886039,4.6658566221
050,3,6,01,039,Alabama,Covington County,37563,37506,37570,37603,37952,-57,64,33,349,88,455,418,418,157,710,711,653,-69,-255,-293,-235,0,1,-1,-1,3,308,336,589,3,309,335,588,9,10,-9,-4,778,778,778,778,778,12.121050669,11.121014194,11.064787241,18.914166977,18.916366249,17.285421216,-6.793116309,-7.795352055,-6.220633975,0.0266396718,-0.026605297,-0.026470783,8.2050189142,8.9393798305,15.591291112,8.231658586,8.9127745334,15.56482033
050,3,6,01,041,Alabama,Crenshaw County,13193,13163,13069,13048,13101,-30,-94,-21,53,41,145,156,157,60,240,240,225,-19,-95,-84,-68,1,6,14,27,-13,-14,55,95,-12,-8,69,122,1,9,-6,-1,153,153,153,153,153,11.055199756,11.946241911,12.008107385,18.298261665,18.37883371,17.209071093,-7.243061909,-6.432591798,-5.200963708,0.4574565416,1.0720986331,2.0650885311,-1.067398597,4.2118160585,7.2660522391,-0.609942056,5.2839146916,9.3311407702
050,3,6,01,043,Alabama,Cullman County,87857,88136,89639,90663,92016,279,1503,1024,1353,252,998,1003,1015,254,1345,1300,1146,-2,-347,-297,-131,0,-6,-2,16,290,1909,1293,1471,290,1903,1291,1487,-9,-53,30,-3,1262,1244,1244,1244,1257,11.227675432,11.125777862,11.112388397,15.131486429,14.420250469,12.546598131,-3.903810997,-3.294472607,-1.434209734,-0.067501055,-0.022185001,0.1751706545,21.476585572,14.342602966,16.104752051,21.409084517,14.320417965,16.279922706
050,3,6,01,045,Alabama,Dale County,49322,49257,49395,49495,49871,-65,138,100,376,149,673,689,692,137,700,707,623,12,-27,-18,69,-1,10,29,49,-78,118,110,257,-79,128,139,306,2,37,-21,1,757,757,757,757,757,13.643920042,13.934674891,13.928305457,14.191298707,14.298715745,12.539500433,-0.547378664,-0.364040853,1.3888050239,0.2027328387,0.5865102639,0.986252843,2.3922474962,2.2246941046,5.1727955236,2.5949803349,2.8112043685,6.1590483666
050,3,6,01,047,Alabama,Dallas County,38458,38171,37515,36729,36165,-287,-656,-786,-564,101,437,428,428,162,686,625,572,-61,-249,-197,-144,1,10,34,37,-202,-417,-635,-458,-201,-407,-601,-421,-25,0,12,1,476,476,476,476,476,11.547710277,11.52955121,11.743078991,18.127526887,16.83637735,15.694021456,-6.579816611,-5.306826141,-3.950942464,0.2642496631,0.9158989279,1.0151727165,-11.01921095,-17.10575939,-12.566192,-10.75496129,-16.18986046,-11.55101929
050,3,6,01,049,Alabama,DeKalb County,71617,71659,71912,72082,72569,42,253,170,487,188,828,834,835,222,1071,1063,945,-34,-243,-229,-110,4,35,71,100,48,422,363,495,52,457,434,595,24,39,-35,2,848,848,848,848,848,11.534362789,11.583815992,11.54502907,14.919447521,14.764504077,13.065931103,-3.385084732,-3.180688084,-1.520902033,0.4875636445,0.9861522008,1.382638212,5.8786245133,5.0418767449,6.8440591493,6.3661881578,6.0280289457,8.2266973612
050,3,6,01,051,Alabama,Elmore County,87980,87861,88789,89600,90441,-119,928,811,841,213,914,931,935,245,1070,1051,942,-32,-156,-120,-7,0,16,21,29,-84,1055,915,822,-84,1071,936,851,-3,13,-5,-3,5795,5530,5293,5592,5429,10.348146052,10.437863321,10.38652307,12.11435041,11.783237756,10.464283136,-1.766204359,-1.345374435,-0.077760066,0.181149165,0.235440526,0.3221488439,11.944523068,10.258480063,9.1312534367,12.125672233,10.493920589,9.4534022806
050,3,6,01,053,Alabama,Escambia County,36768,36685,36660,36636,36558,-83,-25,-24,-78,93,441,420,428,132,659,644,582,-39,-218,-224,-154,0,0,1,2,-49,171,207,74,-49,171,208,76,5,22,-8,0,2067,2067,2067,2067,2067,12.025359602,11.46037983,11.694947673,17.96986843,17.572582406,15.902942864,-5.944508828,-6.112202576,-4.207995191,0,0.0272866186,0.0546492882,4.6628945395,5.6483300589,2.0220236631,4.6628945395,5.6756166776,2.0766729513
050,3,6,01,055,Alabama,Etowah County,103434,103453,103010,102903,103241,19,-443,-107,338,289,1097,1156,1170,362,1880,1813,1630,-73,-783,-657,-460,0,19,64,69,58,249,522,733,58,268,586,802,34,72,-36,-4,1592,1567,1531,1570,1592,10.626601377,11.228042911,11.35128842,18.211495522,17.609378718,15.81418814,-7.584894146,-6.381335807,-4.462899721,0.1840523484,0.6216217529,0.6694349581,2.4120544601,5.0701024219,7.1115336852,2.5961068085,5.6917241748,7.7809686433
050,3,6,01,057,Alabama,Fayette County,16326,16331,16127,16082,15967,5,-204,-45,-115,42,181,177,180,53,320,301,276,-11,-139,-124,-96,0,0,0,0,14,-72,84,-18,14,-72,84,-18,2,7,-5,-1,303,303,303,303,303,11.152874484,10.99071688,11.232799775,19.717789143,18.690428141,17.223626322,-8.564914659,-7.699711261,-5.990826547,0,0,0,-4.436502557,5.2159334348,-1.123279978,-4.436502557,5.2159334348,-1.123279978
050,3,6,01,059,Alabama,Franklin County,32112,32078,31998,31910,31802,-34,-80,-88,-108,97,388,430,430,107,486,491,449,-10,-98,-61,-19,1,33,37,54,-32,-38,-48,-144,-31,-5,-11,-90,7,23,-16,1,424,424,424,424,424,12.11061864,13.456844214,13.498242089,15.169486235,15.365838393,14.094676042,-3.058867595,-1.908994179,-0.596433953,1.0300268431,1.1579145021,1.6951280763,-1.186091516,-1.502159354,-4.520341537,-0.156064673,-0.344244852,-2.825213461
050,3,6,01,061,Alabama,Geneva County,26658,26698,26620,26760,26988,40,-78,140,228,69,271,289,294,94,531,491,451,-25,-260,-202,-157,0,6,14,17,64,165,328,369,64,171,342,386,1,11,0,-1,266,266,266,266,266,10.165422559,10.828025478,10.939941951,19.91822649,18.396403147,16.782019796,-9.752803931,-7.56837767,-5.842077845,0.2250647061,0.5245410266,0.6325816775,6.1892794178,12.289246909,13.73074347,6.4143441239,12.813787936,14.363325147
050,3,6,01,063,Alabama,Greene County,7731,7700,7614,7452,7341,-31,-86,-162,-111,28,110,84,84,36,151,135,126,-8,-41,-51,-42,0,0,0,0,-21,-49,-113,-68,-21,-49,-113,-68,-2,4,2,-1,60,60,60,60,60,14.365939663,11.150935882,11.356722774,19.720517174,17.921146953,17.035084161,-5.354577511,-6.770211071,-5.678361387,0,0,0,-6.399373123,-15.00066375,-9.193537484,-6.399373123,-15.00066375,-9.193537484
050,3,6,01,065,Alabama,Hale County,14788,14772,14726,14599,14888,-16,-46,-127,289,45,183,209,213,72,269,254,251,-27,-86,-45,-38,0,1,0,1,8,30,-77,327,8,31,-77,328,3,9,-5,-1,181,181,181,181,181,12.407620856,14.254049446,14.44704446,18.238524646,17.323103154,17.024451453,-5.83090379,-3.069053708,-2.577406993,0.0678012069,0,0.0678264998,2.0340362058,-5.251491901,22.179265439,2.1018374127,-5.251491901,22.247091939
050,3,6,01,067,Alabama,Henry County,17141,17169,17433,17670,17899,28,264,237,229,40,159,172,173,63,274,269,261,-23,-115,-97,-88,0,0,0,0,50,391,333,319,50,391,333,319,1,-12,1,-2,140,140,140,140,140,9.1902202185,9.7997322166,9.7275717619,15.837234842,15.326325385,14.675700751,-6.647014623,-5.526593169,-4.948128989,0,0,0,22.59984972,18.972737373,17.936967584,22.59984972,18.972737373,17.936967584
050,3,6,01,069,Alabama,Houston County,107202,107284,107470,108047,108462,82,186,577,415,312,1300,1299,1306,316,1579,1535,1349,-4,-279,-236,-43,0,21,64,83,54,385,766,374,54,406,830,457,32,59,-17,1,822,822,822,822,822,12.106875774,12.054733501,12.064163614,14.705197575,14.244815954,12.46137574,-2.598321801,-2.190082453,-0.397212125,0.1955726087,0.5939206652,0.7667117764,3.5854978254,7.1084879615,3.4548217395,3.7810704341,7.7024086267,4.2215335159
050,3,6,01,071,Alabama,Jackson County,52579,52545,52719,52923,53467,-34,174,204,544,127,526,559,549,201,963,957,841,-74,-437,-398,-292,0,12,27,29,25,594,566,809,25,606,593,838,15,5,9,-2,603,603,603,603,603,9.9939200486,10.582912099,10.320518846,18.296853625,18.117794059,15.809756556,-8.302933577,-7.53488196,-5.48923771,0.227998176,0.511160334,0.5451640192,11.285909713,10.715435149,15.208196259,11.513907889,11.226595483,15.753360278
050,3,6,01,073,Alabama,Jefferson County,674340,674717,669990,665084,662895,377,-4727,-4906,-2189,1919,7890,7899,7967,2031,9170,8754,7573,-112,-1280,-855,394,23,266,633,818,343,-4025,-4468,-3417,366,-3759,-3835,-2599,123,312,-216,16,17043,18263,19384,20559,20631,11.734898383,11.833051951,11.998683714,13.638658831,13.11387983,11.405300837,-1.903760447,-1.280827879,0.5933828773,0.395625218,0.9482620439,1.2319471919,-5.986434219,-6.693261947,-5.146165715,-5.590809002,-5.744999903,-3.914218523
050,3,6,01,075,Alabama,Lamar County,13972,13953,13736,13706,13661,-19,-217,-30,-45,29,167,168,155,51,262,241,238,-22,-95,-73,-83,0,0,-1,-1,-1,-122,52,38,-1,-122,51,37,4,0,-8,1,152,152,152,152,152,12.062551916,12.244005539,11.327511236,18.924482647,17.56431747,17.393210801,-6.861930731,-5.320311931,-6.065699565,0,-0.072880985,-0.073080718,-8.812163675,3.7898112382,2.7770672708,-8.812163675,3.7169302529,2.7039865531
050,3,6,01,077,Alabama,Lauderdale County,93562,94025,94853,95875,96814,463,828,1022,939,220,926,943,948,305,1425,1312,1183,-85,-499,-369,-235,1,32,51,58,607,1306,1323,1103,608,1338,1374,1161,-60,-11,17,13,3052,3414,3749,4139,4676,9.8052711274,9.8884274988,9.8396898629,15.089105137,13.757812172,12.278853489,-5.283834009,-3.869384673,-2.439163626,0.3388430627,0.5347930036,0.6020063418,13.829032497,13.873159683,11.448499914,14.16787556,14.407952687,12.050506256
050,3,6,01,079,Alabama,Lawrence County,33074,33089,33073,33187,33502,15,-16,114,315,76,370,383,386,112,607,543,492,-36,-237,-160,-106,0,0,0,-1,44,208,273,420,44,208,273,419,7,13,1,2,219,219,219,219,219,11.184667936,11.560519167,11.576121999,18.348901182,16.389978871,14.755057056,-7.164233246,-4.829459704,-3.178935057,0,0,-0.029989953,6.2875971101,8.2402656203,12.595780414,6.2875971101,8.2402656203,12.56579046
050,3,6,01,081,Alabama,Lee County,174247,174754,177596,180698,183215,507,2842,3102,2517,460,1786,1942,1899,324,1407,1461,1313,136,379,481,586,20,182,510,575,299,2258,2116,1357,319,2440,2626,1932,52,23,-5,-1,5377,5363,5366,5340,5213,10.137647226,10.840259675,10.436560387,7.9863771818,8.1553137926,7.2160104201,2.151270044,2.6849458824,3.2205499666,1.0330637151,2.8468241165,3.160095957,12.816801476,11.811529079,7.4578264585,13.849865191,14.658353196,10.617922416
050,3,6,01,083,Alabama,Limestone County,103565,104203,107303,110868,114654,638,3100,3565,3786,289,1098,1189,1204,214,1187,1142,1040,75,-89,47,164,2,19,99,104,575,3284,3255,3523,577,3303,3354,3627,-14,-114,164,-5,3116,2861,2624,3076,3054,10.382684179,10.89970711,10.677450537,11.224267869,10.468852414,9.2230469755,-0.84158369,0.4308546965,1.4544035615,0.1796639339,0.9075449991,0.9223046975,31.053492572,29.838979516,31.243071629,31.233156506,30.746524515,32.165376327
050,3,6,01,085,Alabama,Lowndes County,10321,10285,9945,9783,9717,-36,-340,-162,-66,32,125,121,120,62,181,187,169,-30,-56,-66,-49,0,0,0,1,-9,-274,-94,-17,-9,-274,-94,-16,3,-10,-2,-1,183,183,183,183,183,12.35788433,12.266828873,12.307692308,17.89421651,18.95782644,17.333333333,-5.53633218,-6.690997567,-5.025641026,0,0,0.1025641026,-27.08848245,-9.529602595,-1.743589744,-27.08848245,-9.529602595,-1.641025641
050,3,6,01,087,Alabama,Macon County,19527,19464,18905,18532,18370,-63,-559,-373,-162,29,193,162,162,77,294,257,241,-48,-101,-95,-79,0,1,8,24,-17,-438,-287,-107,-17,-437,-279,-83,2,-21,1,0,2069,2062,1995,2048,2053,10.060204853,8.6545396266,8.7800119235,15.324871641,13.729732617,13.061622676,-5.264666788,-5.075192991,-4.281610753,0.0521254137,0.4273846729,1.3007425072,-22.83093122,-15.33242514,-5.799143678,-22.77880581,-14.90504047,-4.498401171
050,3,6,01,089,Alabama,Madison County,388154,390503,396671,403605,412600,2349,6168,6934,8995,1076,4284,4412,4470,844,4100,4114,3616,232,184,298,854,9,212,690,789,2269,5814,5782,7340,2278,6026,6472,8129,-161,-42,164,12,9764,10157,10364,11112,11879,10.88450584,11.026195962,10.953130647,10.417010724,10.281452899,8.8605191098,0.4674951154,0.7447430636,2.0926115375,0.5386356765,1.7244050802,1.9333378257,14.771829354,14.450014745,17.985677618,15.310465031,16.174419825,19.919015443
050,3,6,01,091,Alabama,Marengo County,19325,19270,18985,18791,18684,-55,-285,-194,-107,56,247,226,220,86,353,324,301,-30,-106,-98,-81,0,0,2,14,-26,-181,-90,-41,-26,-181,-88,-27,1,2,-8,1,239,239,239,239,239,12.913344661,11.965268954,11.741160774,18.455103908,17.153748412,16.064042695,-5.541759247,-5.188479458,-4.322881921,0,0.1058873359,0.7471647765,-9.462815318,-4.764930114,-2.188125417,-9.462815318,-4.659042778,-1.44096064
050,3,6,01,093,Alabama,Marion County,29340,29176,29001,29182,29244,-164,-175,181,62,98,280,318,309,145,522,474,441,-47,-242,-156,-132,0,12,0,1,-100,35,335,192,-100,47,335,193,-17,20,2,1,776,649,544,722,734,9.6257971363,10.931027963,10.577482628,17.94523609,16.29341904,15.096018896,-8.319438954,-5.362391076,-4.518536268,0.412534163,0,0.0342313354,1.203224642,11.515391094,6.57241639,1.615758805,11.515391094,6.6066477253
050,3,6,01,095,Alabama,Marshall County,97611,97702,98286,99428,100756,91,584,1142,1328,340,1459,1514,1535,314,1506,1423,1256,26,-47,91,279,4,46,137,181,27,534,915,866,31,580,1052,1047,34,51,-1,2,962,962,962,1019,1020,14.888666653,15.315051033,15.33589098,15.368287854,14.394529472,12.548455421,-0.479621201,0.9205215614,2.7874355593,0.4694164949,1.3858401529,1.8083363306,5.4493132233,9.2557937222,8.6520401231,5.9187297181,10.641633875,10.460376454
050,3,6,01,097,Alabama,Mobile County,414809,414377,413383,411398,411640,-432,-994,-1985,242,1288,5197,5053,5075,1347,5456,5613,4765,-59,-259,-560,310,11,125,285,325,-457,-1131,-1528,-405,-446,-1006,-1243,-80,73,271,-182,12,7750,7570,7373,7686,7773,12.556779743,12.252949571,12.332358895,13.182564995,13.610885799,11.579052243,-0.625785252,-1.357936228,0.7533066517,0.3020199092,0.6910925446,0.7897569736,-2.732676138,-3.705225993,-0.98415869,-2.430656229,-3.014133449,-0.194401717
050,3,6,01,099,Alabama,Monroe County,19771,19706,19550,19412,19229,-65,-156,-138,-183,41,217,233,231,82,366,341,319,-41,-149,-108,-88,0,0,1,1,-26,-20,-21,-98,-26,-20,-20,-97,2,13,-10,2,193,193,193,193,193,11.055634807,11.960371644,11.956212313,18.646831058,17.504234896,16.510959861,-7.59119625,-5.543863251,-4.554747548,0,0.0513320671,0.0517584949,-1.018952517,-1.07797341,-5.072332497,-1.018952517,-1.026641343,-5.020574002
050,3,6,01,101,Alabama,Montgomery County,228952,228342,226935,226301,224980,-610,-1407,-634,-1321,782,3082,2997,3003,713,2918,2682,2360,69,164,315,643,7,129,358,439,-652,-1756,-1226,-2418,-645,-1627,-868,-1979,-34,56,-81,15,8397,8211,7999,8546,8732,13.539010317,13.224898287,13.308781003,12.818569794,11.834893963,10.459115274,0.720440523,1.3900043245,2.8496657293,0.5666879724,1.5797509465,1.9455727141,-7.713985112,-5.409985085,-10.71616133,-7.14729714,-3.830234139,-8.770588613
050,3,6,01,103,Alabama,Morgan County,123424,123288,123375,124231,125133,-136,87,856,902,343,1425,1437,1461,382,1813,1689,1506,-39,-388,-252,-45,1,18,79,106,-103,368,1043,840,-102,386,1122,946,5,89,-14,1,2287,2094,1934,2139,2229,11.554225806,11.607150069,11.717810109,14.700218517,13.642641939,12.078728285,-3.145992711,-2.03549187,-0.360918176,0.1459481154,0.6381105466,0.8501628142,2.983828138,8.4246746848,6.7371392823,3.1297762534,9.0627852314,7.5873020965
050,3,6,01,105,Alabama,Perry County,8513,8458,8328,7904,7738,-55,-130,-424,-166,30,100,91,89,31,168,152,141,-1,-68,-61,-52,0,0,1,1,-49,-65,-390,-114,-49,-65,-389,-113,-5,3,26,-1,543,536,523,302,314,11.914690814,11.212419911,11.379618975,20.016680567,18.728437654,18.028385117,-8.101989753,-7.516017743,-6.648766142,0,0.1232134056,0.1278608874,-7.744549029,-48.05322819,-14.57614116,-7.744549029,-47.93001479,-14.44828027
050,3,6,01,107,Alabama,Pickens County,19130,18969,18618,18749,18688,-161,-351,131,-61,33,169,181,186,78,341,308,283,-45,-172,-127,-97,0,3,11,14,-99,-182,233,22,-99,-179,244,36,-17,0,14,0,1772,1667,1573,1916,1983,8.9924708011,9.6876923489,9.9366936453,18.144571261,16.485133942,15.118732804,-9.15210046,-6.797441593,-5.182039159,0.1596296592,0.5887547836,0.7479231776,-9.684199324,12.470896781,1.1753078505,-9.524569665,13.059651564,1.9232310281
