"Latitude","Longitude","Wind-Speed (U)","Wind-Speed (V)","Temp","Relative Humidity","PM10","O3"
38.15,23.55,1.71311533885489,-0.588855220160293,12.9488557604692,82.5788116994023,8.101824,76.28401
37.85,23.75,1.96049845813266,-0.93741663414156,14.0115388509457,78.3527305859611,10.5204115,74.3911
38.15,23.65,1.64098510041626,-0.556073201330733,12.5506897667162,82.8403174689891,8.587352,74.56569
37.85,23.85,2.00383414903182,-0.971722476392657,14.261641492943,76.5589151097194,10.917974,67.90412
37.85,23.95,1.95406271111543,-0.91233467047367,14.1790745949513,76.1402020528993,11.353168,67.63471
38.15,23.85,1.61742776957418,-0.505514437406957,12.8492674471369,78.9598159666692,10.021696,71.46131
37.85,23.65,1.89974813268356,-0.87971151960919,13.7647192717209,79.6716235646335,10.162753,80.97122
38.15,23.95,1.60854701144899,-0.493469430433268,13.1921519851205,78.0344210591981,11.410466,71.16523
38.05,23.55,1.93190099933069,-0.955598281590796,13.8613600605739,82.222886398233,10.032639,69.88988
38.05,23.65,1.82550430209889,-0.864968545733051,13.3391417916398,82.7147973045567,11.838625,63.666874
38.05,23.85,1.68558585213797,-0.684814947411772,13.423609018499,78.0574398930802,14.53826,66.30903
38.05,23.95,1.66615742025082,-0.647273527983519,13.6189138445354,77.1718892393581,15.043911,65.15461
37.85,23.55,2.02726519376802,-1.04110628071978,14.1159027622559,79.5846047343726,9.734609,87.951645
37.95,23.55,2.09892813004246,-1.16316491240038,14.3946847912118,80.7431406923303,10.405304,72.53368
37.95,23.65,1.93748196815276,-0.969643877456404,13.8664755859454,81.0236973174059,12.419053,51.66409
37.95,23.75,1.94832247883114,-0.962296241939576,14.0387892324843,78.6322660470676,13.458151,49.68284
38.15,23.75,1.63329527337751,-0.544338033133016,12.4652649733002,81.2062270387918,9.124849,76.19464
37.95,23.85,1.94141163608796,-0.935187224734607,14.3148804420143,75.7653374102945,13.077741,53.66782
37.988,23.728,1.9451011685432,-1.01335420543973,13.8808836695283,81.5088105473033,229,49.68284
38.144,23.758,1.63250636887142,-0.556622013970339,12.4779266289941,81.0707098031108,8,53
37.995,23.819,1.81236496235509,-0.861082444184661,14.1570742182214,76.0492620213969,12,77
38.05,23.75,1.75346632536334,-0.775230853728556,13.1675824466321,80.7562880557825,12.985242,70.82164
37.95,23.95,1.87855016671786,-0.854050873258082,14.2211799643613,75.3560148928012,12.85544,49.984222
38.051,23.538,1.94946824816341,-0.964258208294849,13.938289186077,81.989262633992,10.032639,69.88988
37.932,23.713,1.90606491554411,-0.899416485649723,13.80141460809,79.6935477897413,89,49.68284
38.031,23.787,1.77984741640037,-0.812352762127597,13.7208173885312,77.8832658267313,131,1
37.901,23.879,2.13208472999581,-1.07064823258231,14.9709652287173,71.3597067621767,39,71
38.021,23.688,1.95266856007297,-1.03955953636212,13.7974123319944,82.832372350435,300,63.666874
38.08363,23.700375,1.54280108434461,-0.602022060940723,11.751731577815,85.1426724182419,11.838625,63.666874
37.978,23.727,1.94142759838989,-0.999548182932284,13.8878492254972,81.1214285471339,229,NA
37.97673,23.7298,1.93518201540602,-0.987752209731001,13.8857210464634,80.8398352767066,229,49.68284
38.04972,23.757725,1.74703159009079,-0.766624978219928,13.1871523084717,80.3873449937882,12.985242,70.82164
37.989967,23.708792,2.00938012567347,-1.11970666890998,13.9974898452776,83.1838746884964,229,NA
38.040443,23.833649,1.72603036953263,-0.735916969278548,13.5236241858621,77.9930124846025,14.53826,NA
37.98204,23.79478,1.82761652934122,-0.878581748767002,14.1884212438067,76.102744727062,12,NA
37.99345,23.744556,1.89496715590256,-0.940516063894982,13.8389984679275,80.0470917811475,229,1
37.97312,23.718056,1.95196099558155,-1.01397087927044,13.8969323258206,81.4347873676338,229,49.68284
37.97081,23.748861,1.91281672983223,-0.943197826509816,13.9401051731762,79.2070202932861,13.458151,49.68284
37.97381,23.719069,1.95144805677733,-1.01356740994383,13.8967661724976,81.4217778018066,229,NA
38.01869,23.810574,1.79491200304464,-0.841185353916753,14.0396021005201,76.4423006667864,131,1
38.013317,23.647491,1.93999714075669,-1.01460296799837,13.8222929997546,82.5834970962362,300,63.666874
38.034657,23.702152,1.87883304856228,-0.941584266570946,13.5203278676391,82.4318028820957,300,70.82164
38.090866,23.72522,1.58966381196423,-0.624989452205678,12.0845175524991,83.921688910415,12.985242,70.82164
38.022263,23.737436,1.86224949241195,-0.909333956179052,13.6132951301826,80.957508665179,12.985242,70.82164
37.871895,23.755962,2.02829407919068,-1.01091722444938,14.2479738695047,77.5537660876191,10.5204115,74.3911
38.00546,23.73234,1.91939641087262,-0.983930029254969,13.7987713815707,81.410472310203,229,70.82164
38.132057,23.789848,1.59150732738491,-0.557702401756052,12.3347448466004,80.8351724585189,8,53
38.053745,23.741959,1.74662065832723,-0.769831675435,13.0758403537762,81.2552723153805,12.985242,70.82164
37.97721,23.783016,1.85678933316871,-0.895563699198581,14.1187375280864,76.8360672173895,12,77
37.9357,23.644547,1.92695785547526,-0.943078170021589,13.83965876229,80.6175354177062,12.419053,51.66409
37.978336,23.727934,1.93971141356305,-0.996924727193225,13.886427581305,81.0656534280519,229,49.68284
37.948063,23.72836,1.93146959236353,-0.947545279572432,13.9085734634619,79.6588849485501,13.458151,49.68284
37.933243,23.757456,2.00793855518478,-1.00992215505434,14.2310084898127,77.7172381932594,13.458151,49.68284
38.056435,23.840101,1.67598982081542,-0.675951062952599,13.260261636268,78.5561163644793,14.53826,66.30903
37.961323,23.761395,1.9269562786666,-0.947644778790821,14.052259755561,78.2178677504725,13.458151,49.68284
38.04067,23.684368,1.84469848748267,-0.896844721254478,13.3712733762329,82.5538539683662,300,63.666874
38.037506,23.686476,1.8626244713457,-0.919537285970876,13.4475910689538,82.5363270129352,300,63.666874
38.037838,23.826132,1.73959532288079,-0.755007166228583,13.5723445960564,77.9169171173329,14.53826,66.30903
37.974033,23.718441,1.95279913015552,-1.01612367747372,13.8981153918379,81.4750932691803,229,NA
38.00266,23.763859,1.84117300969108,-0.880028641784652,13.8926205827976,78.2512824643365,229,1
37.95576,23.667692,1.93433078120019,-0.969807611610464,13.8458562724996,81.089565054758,12.419053,51.66409
37.92956,23.69305,1.89324167213487,-0.88245260777079,13.7451660623543,79.9225357236546,89,51.66409
37.988132,23.72989,1.93922210622878,-1.00396632890288,13.8736598544361,81.3336599457601,229,49.68284
37.813873,23.782408,1.87945293611625,-0.841258764278245,13.7187703274489,79.2087231682473,10.5204115,74.3911
